parent_asin,title,description,features,categories,retrieval_text
B00HY7VG9G,,,,,.
B07RXM26FG,,,,,.
B001H1SVZC,,,,,.
B01J4SRJFW,,,,,.
B000S76O2S,Burst Angel: Volume Two - A New Tokyo,"Catch all the actionat a great new price! Say what you will about Meg... but the girl's got guts. Meg walks straight into the fire going undercover at an elite girl's school to investigate the bizarre case of a young student's descent into madness. But this Academy is a place where even the bravest angels should fear to tread. A secret society has conjured up the spirit of an ancient demon, and they mean to set it loose on Meg. And if that s not enough, a dangerous giant bird preys on young girls and snatches up Meg before Jo's very eyes! A secret weapon injected into Kyo raises the stakes for Sei, and a deal to save Meg leaves Jo hanging in the balance. With traps and RAPT lurking behind every corner will Jo be able to save Meg this time? Or will the Crow Monster take Meg and Kyo down with him?",,Movies & TV Science Fiction & Fantasy Science Fiction Animation,"Burst Angel: Volume Two - A New Tokyo. Catch all the actionat a great new price! Say what you will about Meg... but the girl's got guts. Meg walks straight into the fire going undercover at an elite girl's school to investigate the bizarre case of a young student's descent into madness. But this Academy is a place where even the bravest angels should fear to tread. A secret society has conjured up the spirit of an ancient demon, and they mean to set it loose on Meg. And if that s not enough, a dangerous giant bird preys on young girls and snatches up Meg before Jo's very eyes! A secret weapon injected into Kyo raises the stakes for Sei, and a deal to save Meg leaves Jo hanging in the balance. With traps and RAPT lurking behind every corner will Jo be able to save Meg this time? Or will the Crow Monster take Meg and Kyo down with him?  Movies & TV Science Fiction & Fantasy Science Fiction Animation"
B00271DNP4,,,,,.
B001QMCJ14,While She Was Out,"Product Description Della Myers is an upper-class housewife that lives in a private condominium in the suburbs with her twin children and her abusive husband Kenneth. Della gives all the attention to the twins, neglecting their house and her appearance and upsetting Kenneth. On the Christmas Eve, she drives to the local mall in the night to buy wrapping paper for the gifts, and she does not find any parking space available. When she sees an old car parked on two spots, she leaves a message to the owner calling him ""selfish jerk"". When the mall closes, Della's car is hold by the driver of the old car and she is threatened by four punks - Chuckie, the Afro-American Huey, the Chinese-American Vingh and the Latin Tomás. When the security guard of the mall protects her, he is shot on the head by Chuckie, Della speeds up her car trying to escape from the criminals. However she crashes her truck nearby a forest while chased by the gang. She takes the toolbox and hides in the wood, fighting against the gang to su Amazon.com Stills from While She Was Out (Click for larger image) Beyond While She Was Out More Horror - The Devil's Ground More Horror - Laid to Rest The Anchor Bay Horror Store",,Movies & TV Today's Deals Anchor Bay Deals,"While She Was Out. Product Description Della Myers is an upper-class housewife that lives in a private condominium in the suburbs with her twin children and her abusive husband Kenneth. Della gives all the attention to the twins, neglecting their house and her appearance and upsetting Kenneth. On the Christmas Eve, she drives to the local mall in the night to buy wrapping paper for the gifts, and she does not find any parking space available. When she sees an old car parked on two spots, she leaves a message to the owner calling him ""selfish jerk"". When the mall closes, Della's car is hold by the driver of the old car and she is threatened by four punks - Chuckie, the Afro-American Huey, the Chinese-American Vingh and the Latin Tomás. When the security guard of the mall protects her, he is shot on the head by Chuckie, Della speeds up her car trying to escape from the criminals. However she crashes her truck nearby a forest while chased by the gang. She takes the toolbox and hides in the wood, fighting against the gang to su Amazon.com Stills from While She Was Out (Click for larger image) Beyond While She Was Out More Horror - The Devil's Ground More Horror - Laid to Rest The Anchor Bay Horror Store  Movies & TV Today's Deals Anchor Bay Deals"
B000TLTCU4,Angel: The Complete Series (Collector's Set) [DVD],ANGEL SEASON 1 (6 DISCS) ANGEL SEASON 1 (6 DISCS) ANGEL SEASON 2 (6 DISCS) ANGEL SEASON 2 (6 DISCS) ANGEL SEASON 3 (6 DISCS) ANGEL SEASON 3 (6 DISCS) ANGEL SEASON 4 (6 DISCS) ANGEL SEASON 4 (6 DISCS) ANGEL SEASON 5 (6 DISCS) ANGEL SEASON 5 (6 DISCS),,Movies & TV Studio Specials 20th Century Fox Home Entertainment Fox TV General,Angel: The Complete Series (Collector's Set) [DVD]. ANGEL SEASON 1 (6 DISCS) ANGEL SEASON 1 (6 DISCS) ANGEL SEASON 2 (6 DISCS) ANGEL SEASON 2 (6 DISCS) ANGEL SEASON 3 (6 DISCS) ANGEL SEASON 3 (6 DISCS) ANGEL SEASON 4 (6 DISCS) ANGEL SEASON 4 (6 DISCS) ANGEL SEASON 5 (6 DISCS) ANGEL SEASON 5 (6 DISCS)  Movies & TV Studio Specials 20th Century Fox Home Entertainment Fox TV General
B019C6X2RK,When Calls the Heart: Season 1,Includes all 12 episodes from Season 1 of When Calls The Heart,,Movies & TV Christian Movies & TV,When Calls the Heart: Season 1. Includes all 12 episodes from Season 1 of When Calls The Heart  Movies & TV Christian Movies & TV
B00VX21VR0,SOAP - The Complete Series,"Product Description This controversial sitcom defined the late '70s and was an instant classic! With it's combination of implausible plots, exaggerated melodrama and a liberal dose of wackiness, this parody of TV soap operas was both popular and critically acclaimed, winning 4 Emmy Awards and 17 nominations. Surprises and shenanigans abound between the families of two sisters, Jessica Tate and Mary Campbell, where each family member is either crazy, involved in an incriminating secret, or both. The unparalleled cast features Katherine Helmond (TV's Who's the Boss?), Richard Mulligan (TV's Empty Nest), Robert Guillaume (TV's Benson), Cathryn Damon (TV's Webster), Robert Mandan (The Best Little Whorehouse in Texas), and Billy Crystal (When Harry Met Sally). Review One of the '70s most groundbreaking sitcoms --Thomas Useted, PopMatters",,Movies & TV Studio Specials Sony Pictures Home Entertainment All Sony Pictures Titles,"SOAP - The Complete Series. Product Description This controversial sitcom defined the late '70s and was an instant classic! With it's combination of implausible plots, exaggerated melodrama and a liberal dose of wackiness, this parody of TV soap operas was both popular and critically acclaimed, winning 4 Emmy Awards and 17 nominations. Surprises and shenanigans abound between the families of two sisters, Jessica Tate and Mary Campbell, where each family member is either crazy, involved in an incriminating secret, or both. The unparalleled cast features Katherine Helmond (TV's Who's the Boss?), Richard Mulligan (TV's Empty Nest), Robert Guillaume (TV's Benson), Cathryn Damon (TV's Webster), Robert Mandan (The Best Little Whorehouse in Texas), and Billy Crystal (When Harry Met Sally). Review One of the '70s most groundbreaking sitcoms --Thomas Useted, PopMatters  Movies & TV Studio Specials Sony Pictures Home Entertainment All Sony Pictures Titles"
B00EYYKED6,,,,,.
B0016492BW,Monty Python and the Holy Grail [Blu-ray],"The Monty Python team are at it again in their second movie. This time we follow King Arthur and his knights in their search for the Holy Grail. This isn't your average medieval knights and horses story - for a start, due to a shortage in the kingdom, all the horses have been replaced by servants clopping coconuts together!",,Movies & TV Blu-ray Movies,"Monty Python and the Holy Grail [Blu-ray]. The Monty Python team are at it again in their second movie. This time we follow King Arthur and his knights in their search for the Holy Grail. This isn't your average medieval knights and horses story - for a start, due to a shortage in the kingdom, all the horses have been replaced by servants clopping coconuts together!  Movies & TV Blu-ray Movies"
B01HNBX082,"Yours, Mine and Ours","Yours, Mine and Ours, based on the book Who Gets the Drumstick, stars Lucille Ball (The Facts of Life) and Henry Fonda (The Grapes of Wrath) as Frank and Helen Beardsley, parents to a blended family of twenty. When Navy officer Frank Beardsley meets nurse Helen North (with a little help from mutual friend Darrel Harrison, played by Van Johnson, Brigadoon) there's an undeniable attraction although both are apprehensive about any potential romantic involvement, having recently lost their spouses leaving them responsible for raising ten children and eight children respectively. When they decide to wed, unconventionality turns into hilarity in the wacky Yours, Mine and Ours. Directed by Melville Shavelson (Houseboat) from a screenplay by Mort Lachman and Shavelson and a story by Bob Carroll Jr. And Madelyn Davis based on the Helen Beardsley book, Yours, Mine and Ours features supporting performances by Tim Matheson (Animal House), Tom Bosley (TV's Happy Days), Gary Goetzman (Married to the Mob), Morgan Brittany (Gypsy) and Tracy Nelson (Down and Out in Beverly Hills).",,Movies & TV Genre for Featured Categories Kids & Family,"Yours, Mine and Ours. Yours, Mine and Ours, based on the book Who Gets the Drumstick, stars Lucille Ball (The Facts of Life) and Henry Fonda (The Grapes of Wrath) as Frank and Helen Beardsley, parents to a blended family of twenty. When Navy officer Frank Beardsley meets nurse Helen North (with a little help from mutual friend Darrel Harrison, played by Van Johnson, Brigadoon) there's an undeniable attraction although both are apprehensive about any potential romantic involvement, having recently lost their spouses leaving them responsible for raising ten children and eight children respectively. When they decide to wed, unconventionality turns into hilarity in the wacky Yours, Mine and Ours. Directed by Melville Shavelson (Houseboat) from a screenplay by Mort Lachman and Shavelson and a story by Bob Carroll Jr. And Madelyn Davis based on the Helen Beardsley book, Yours, Mine and Ours features supporting performances by Tim Matheson (Animal House), Tom Bosley (TV's Happy Days), Gary Goetzman (Married to the Mob), Morgan Brittany (Gypsy) and Tracy Nelson (Down and Out in Beverly Hills).  Movies & TV Genre for Featured Categories Kids & Family"
B005LTHT72,,,,,.
B00X8UKOUK,,,,,.
B006OAXL92,Hugo (Blu-ray 3D + Blu-ray + DVD + Digital Copy) [3D Blu-ray],"Product Description Welcome to a magical world of spectacular adventure! When wily and resourceful Hugo discovers a secret left by his father, he unlocks a mystery and embarks on a quest that will transform those around him and lead to a safe and loving place he can call home. Academy Award®-winning filmmaker Martin Scorsese invites you to experience a thrilling journey that critics are calling “the stuff that dreams are made of.” *Peter Travers, Rolling Stone Amazon.com In resourceful orphan Hugo Cabret (Asa Butterfield, an Oliver Twist-like charmer), Martin Scorsese finds the perfect vessel for his silver-screen passion: this is a movie about movies (fittingly, the 3-D effects are spectacular). After his clockmaker father (Jude Law) perishes in a museum fire, Hugo goes to live with his Uncle Claude (Ray Winstone), a drunkard who maintains the clocks at a Paris train station. When Claude disappears, Hugo carries on his work and fends for himself by stealing food from area merchants. In his free time, he attempts to repair an automaton his father rescued from the museum, while trying to evade the station inspector (Sacha Baron Cohen), a World War I veteran with no sympathy for lawbreakers. When Georges (Ben Kingsley), a toymaker, catches Hugo stealing parts for his mechanical man, he recruits him as an assistant to repay his debt. If Georges is guarded, his open-hearted ward, Isabelle (Chloë Moretz), introduces Hugo to a kindly bookseller (Christopher Lee), who directs them to a motion-picture museum, where they meet film scholar René ( Boardwalk Empire 's Michael Stuhlbarg). In helping unlock the secret of the automaton, they learn about the roots of cinema, starting with the Lumière brothers, and give a forgotten movie pioneer his due, thus illustrating the importance of film preservation, a cause to which the director has dedicated his life. If Scorsese's adaptation of The Invention of Hugo Cabret isn't his most autobiographical work, it just may be his most personal. --Kathleen C. Fennessy",,Movies & TV Blu-ray Movies,"Hugo (Blu-ray 3D + Blu-ray + DVD + Digital Copy) [3D Blu-ray]. Product Description Welcome to a magical world of spectacular adventure! When wily and resourceful Hugo discovers a secret left by his father, he unlocks a mystery and embarks on a quest that will transform those around him and lead to a safe and loving place he can call home. Academy Award®-winning filmmaker Martin Scorsese invites you to experience a thrilling journey that critics are calling “the stuff that dreams are made of.” *Peter Travers, Rolling Stone Amazon.com In resourceful orphan Hugo Cabret (Asa Butterfield, an Oliver Twist-like charmer), Martin Scorsese finds the perfect vessel for his silver-screen passion: this is a movie about movies (fittingly, the 3-D effects are spectacular). After his clockmaker father (Jude Law) perishes in a museum fire, Hugo goes to live with his Uncle Claude (Ray Winstone), a drunkard who maintains the clocks at a Paris train station. When Claude disappears, Hugo carries on his work and fends for himself by stealing food from area merchants. In his free time, he attempts to repair an automaton his father rescued from the museum, while trying to evade the station inspector (Sacha Baron Cohen), a World War I veteran with no sympathy for lawbreakers. When Georges (Ben Kingsley), a toymaker, catches Hugo stealing parts for his mechanical man, he recruits him as an assistant to repay his debt. If Georges is guarded, his open-hearted ward, Isabelle (Chloë Moretz), introduces Hugo to a kindly bookseller (Christopher Lee), who directs them to a motion-picture museum, where they meet film scholar René ( Boardwalk Empire 's Michael Stuhlbarg). In helping unlock the secret of the automaton, they learn about the roots of cinema, starting with the Lumière brothers, and give a forgotten movie pioneer his due, thus illustrating the importance of film preservation, a cause to which the director has dedicated his life. If Scorsese's adaptation of The Invention of Hugo Cabret isn't his most autobiographical work, it just may be his most personal. --Kathleen C. Fennessy  Movies & TV Blu-ray Movies"
B07664RXZT,,,,,.
B07PND31HD,,,,,.
B006ZL1P84,The Virginian: Season 1,"Owen Wister's 1902 western novel The Virginian was one of the first great novels of the American West. Set in the semi-mythical town of Medicine Bow, Wyoming in the 1890's, it chronicled the lives and relationships of the people who came west and settled the wild land. Starring James Drury in the title role, The Virginian was the first 90 minute television western, airing in prime time on NBC from 1962-1971. The stellar cast included Lee J. Cobb, Doug McClure, Gary Clark and Roberta Shore, and each week brought talented guest stars to The Virginian. Season One's line-up of luminaries reads like a who's who of Hollywood, including George C. Scott, Lee Marvin, Bette Davis, Robert Duvall, Brian Keith, Colleen Dewhurst, Hugh O'Brian, Ricardo Montalban, Eddie Albert, Tammy Grimes, Clu Gulager, Fabian, Vera Miles, Michael Rennie, Ida Lupino, and many more!",,Movies & TV Featured Categories DVD,"The Virginian: Season 1. Owen Wister's 1902 western novel The Virginian was one of the first great novels of the American West. Set in the semi-mythical town of Medicine Bow, Wyoming in the 1890's, it chronicled the lives and relationships of the people who came west and settled the wild land. Starring James Drury in the title role, The Virginian was the first 90 minute television western, airing in prime time on NBC from 1962-1971. The stellar cast included Lee J. Cobb, Doug McClure, Gary Clark and Roberta Shore, and each week brought talented guest stars to The Virginian. Season One's line-up of luminaries reads like a who's who of Hollywood, including George C. Scott, Lee Marvin, Bette Davis, Robert Duvall, Brian Keith, Colleen Dewhurst, Hugh O'Brian, Ricardo Montalban, Eddie Albert, Tammy Grimes, Clu Gulager, Fabian, Vera Miles, Michael Rennie, Ida Lupino, and many more!  Movies & TV Featured Categories DVD"
B000PIU2A0,Battlespace,"""Battlespace"" is a futuristic sci-fi adventure that begins after the destruction of our Universe. With a militaristic race of modified humans in hot pursuit, Colonel Mara Shryyke finds herself stranded on an inhospitable planet, and discovers a weapon of mass destruction set to destroy her home planet in less then 42 hours.",,Movies & TV Science Fiction & Fantasy Science Fiction Sci-Fi Action,"Battlespace. ""Battlespace"" is a futuristic sci-fi adventure that begins after the destruction of our Universe. With a militaristic race of modified humans in hot pursuit, Colonel Mara Shryyke finds herself stranded on an inhospitable planet, and discovers a weapon of mass destruction set to destroy her home planet in less then 42 hours.  Movies & TV Science Fiction & Fantasy Science Fiction Sci-Fi Action"
B08FF98J5B,,,,,.
B0009MAO82,"Burst Angel, Vol. 3: East Meets West","Following the announcement of Sei's arranged marriage to a member of a rival faction, the veil drops on years of old rivallries. If you think an arrranged marriage won't sit well with Sei, well, you can only imagine what Amy feels like when a hacker gets his fingers into Amy's computer. It's only a matter of time before things turn violent. Meanwhile, terrorists hijack a train and a giant bug is unleashed upon the city. All in a day's work for Jo. But has even Jo met her match in Ms. Takane Katsu, an elite law dog form Osaka? These two have more in common than they realize...RAPT. As RAPT sinks it's teeth deeper itnto Tokyo, it begins to cast it's eye towards Osaka. will the city of Osaka crumble under the iron fist of RAPT?",,Movies & TV Science Fiction & Fantasy Science Fiction Animation,"Burst Angel, Vol. 3: East Meets West. Following the announcement of Sei's arranged marriage to a member of a rival faction, the veil drops on years of old rivallries. If you think an arrranged marriage won't sit well with Sei, well, you can only imagine what Amy feels like when a hacker gets his fingers into Amy's computer. It's only a matter of time before things turn violent. Meanwhile, terrorists hijack a train and a giant bug is unleashed upon the city. All in a day's work for Jo. But has even Jo met her match in Ms. Takane Katsu, an elite law dog form Osaka? These two have more in common than they realize...RAPT. As RAPT sinks it's teeth deeper itnto Tokyo, it begins to cast it's eye towards Osaka. will the city of Osaka crumble under the iron fist of RAPT?  Movies & TV Science Fiction & Fantasy Science Fiction Animation"
B007772IZY,,,,,.
B00HVBB140,Wizard of Oz,,,Movies & TV Featured Categories DVD Action & Adventure,Wizard of Oz.   Movies & TV Featured Categories DVD Action & Adventure
B005IZLPMY,Captain America: The First Avenger,"Captain America leads the fight for freedom in the action-packed blockbuster starring Chris Evans as the ultimate weapon against evil! When a terrifying force threatens everyone across the globe, the world’s greatest soldier wages war on the evil HYDRA organization, led by the villainous Red Skull (Hugo Weaving, The Matrix ). Critics and audiences alike salute Captain America: The First Avenger as “pure excitement, pure action, and pure fun!” – Bryan Erdy CBS-TV",,Movies & TV Featured Categories Blu-ray Action & Adventure,"Captain America: The First Avenger. Captain America leads the fight for freedom in the action-packed blockbuster starring Chris Evans as the ultimate weapon against evil! When a terrifying force threatens everyone across the globe, the world’s greatest soldier wages war on the evil HYDRA organization, led by the villainous Red Skull (Hugo Weaving, The Matrix ). Critics and audiences alike salute Captain America: The First Avenger as “pure excitement, pure action, and pure fun!” – Bryan Erdy CBS-TV  Movies & TV Featured Categories Blu-ray Action & Adventure"
B008XBCJ34,Avatar (Blu-ray 3D + Blu-ray/ DVD Combo Pack),"In the epic action adventure Avatar, James Cameron, the director of Titanic, takes us to a spectacular new world beyond imagination. On the distant moon Pandora, a reluctant hero embarks on a journey of redemption and discovery as he leads a heroic battle to save a civilization. The film was first conceived by Cameron 14 years ago, when the means to realize his vision did not yet exist. Now, after four years of actual production work, Avatar delivers a fully immersible cinematic experience of a new kind, where the revolutionary technology invented to make the film, disappears into the emotion of the characters and the sweep of the story.",,Movies & TV Featured Categories Blu-ray Action & Adventure,"Avatar (Blu-ray 3D + Blu-ray/ DVD Combo Pack). In the epic action adventure Avatar, James Cameron, the director of Titanic, takes us to a spectacular new world beyond imagination. On the distant moon Pandora, a reluctant hero embarks on a journey of redemption and discovery as he leads a heroic battle to save a civilization. The film was first conceived by Cameron 14 years ago, when the means to realize his vision did not yet exist. Now, after four years of actual production work, Avatar delivers a fully immersible cinematic experience of a new kind, where the revolutionary technology invented to make the film, disappears into the emotion of the characters and the sweep of the story.  Movies & TV Featured Categories Blu-ray Action & Adventure"
B0072OFOM6,Spartacus: Vengeance: Season 2,"10-episode sequel to “Spartacus: Blood & Sand.” On the heels of the bloody escape from the House of Batiatus that concluded “Spartacus: Blood and Sand,” the gladiator rebellion continues and begins to strike fear into the heart of the Roman Republic in “Spartacus: Vengeance.” Gaius Claudius Glaber and his Roman troops are sent to Capua to crush the growing band of freed slaves that Spartacus leads before it can inflict further damage. Spartacus is presented the choice of satisfying his personal need for vengeance against the man who condemned his wife to slavery and eventual death or making the larger sacrifices necessary to keep his budding army from breaking apart. Containing all of the blood-soaked action, exotic sexuality, and villainy and heroism that has come to distinguish the series, the tale of Spartacus resumes in epic fashion. Includes tons of never-before-seen bonus features including featurettes, extended scenes and Content Too Risqué for CABLE TV.",,Movies & TV Featured Categories Blu-ray Drama,"Spartacus: Vengeance: Season 2. 10-episode sequel to “Spartacus: Blood & Sand.” On the heels of the bloody escape from the House of Batiatus that concluded “Spartacus: Blood and Sand,” the gladiator rebellion continues and begins to strike fear into the heart of the Roman Republic in “Spartacus: Vengeance.” Gaius Claudius Glaber and his Roman troops are sent to Capua to crush the growing band of freed slaves that Spartacus leads before it can inflict further damage. Spartacus is presented the choice of satisfying his personal need for vengeance against the man who condemned his wife to slavery and eventual death or making the larger sacrifices necessary to keep his budding army from breaking apart. Containing all of the blood-soaked action, exotic sexuality, and villainy and heroism that has come to distinguish the series, the tale of Spartacus resumes in epic fashion. Includes tons of never-before-seen bonus features including featurettes, extended scenes and Content Too Risqué for CABLE TV.  Movies & TV Featured Categories Blu-ray Drama"
B0779KMWG1,,,,,.
B0009JE6FM,Cleopatra 2525 - Complete Series,"Get ready for temperatures to rise as the sexiest sci-fi series ever, Cleopatra 2525, explodes on to DVD for the first time! Action goddess Gina Torres stars in the sizzling series about a cryogenically frozen exotic dancer who, after accidentally being thawed in the year 2525, joins two sexy freedom fighters in their battle against evil robots called Bailies. Led by the mysterious ""Voice,"" this tempestuous trio must out-fight, out-seduce and out-maneuver the forces that threaten to destroy the world. From executive producer Sam Raimi (director of Spider-Man and Evil Dead) comes all 28 action-packed episodes and exclusive bonus features from the series that has the New York Daily News declaring ""the sexy factor is way in the red zone."" Bonus Content: Disc 3: Bonus Episode: Earth 2 ""The Man Who Fell to Earth (Two)"" Bonus Episode: Earth 2 ""The Man Who Fell to Earth (Two)"" Deleted Scenes Deleted Scenes Outtakes Outtakes Special Effects and Stunts Special Effects and Stunts ]]>",,Movies & TV Studio Specials Universal Studios Home Entertainment All Universal Studios Titles,"Cleopatra 2525 - Complete Series. Get ready for temperatures to rise as the sexiest sci-fi series ever, Cleopatra 2525, explodes on to DVD for the first time! Action goddess Gina Torres stars in the sizzling series about a cryogenically frozen exotic dancer who, after accidentally being thawed in the year 2525, joins two sexy freedom fighters in their battle against evil robots called Bailies. Led by the mysterious ""Voice,"" this tempestuous trio must out-fight, out-seduce and out-maneuver the forces that threaten to destroy the world. From executive producer Sam Raimi (director of Spider-Man and Evil Dead) comes all 28 action-packed episodes and exclusive bonus features from the series that has the New York Daily News declaring ""the sexy factor is way in the red zone."" Bonus Content: Disc 3: Bonus Episode: Earth 2 ""The Man Who Fell to Earth (Two)"" Bonus Episode: Earth 2 ""The Man Who Fell to Earth (Two)"" Deleted Scenes Deleted Scenes Outtakes Outtakes Special Effects and Stunts Special Effects and Stunts ]]>  Movies & TV Studio Specials Universal Studios Home Entertainment All Universal Studios Titles"
B0754PSVL2,,,,,.
B004R6JG7G,Top Gun [Blu-ray],"Top Gun takes a look at the danger and excitement that awaits every pilot at the Navy's prestigious fighter weapons school. Tom Cruise is superb as Pete ""Maverick"" Mitchell, a daring young flyer who's out to become the best of the best. And Kelly McGillis sizzles as the civilian instructor who teaches Maverick a few things you can't learn in a classroom.",,Movies & TV Featured Categories Blu-ray Action & Adventure,"Top Gun [Blu-ray]. Top Gun takes a look at the danger and excitement that awaits every pilot at the Navy's prestigious fighter weapons school. Tom Cruise is superb as Pete ""Maverick"" Mitchell, a daring young flyer who's out to become the best of the best. And Kelly McGillis sizzles as the civilian instructor who teaches Maverick a few things you can't learn in a classroom.  Movies & TV Featured Categories Blu-ray Action & Adventure"
B076DHQ2NS,,,,,.
B003ITOLV4,,,,,.
B005TTEG3O,Basquiat,"Jean-Michel Basquiat ( Jeffrey Wright ) was just an antisocial street bum writing graffiti on alley walls before he became part of Andy Warhol's ( David Bowie ) eccentric art scene. Soon, the talented tagger became a widely praised figure in the New York City art world. As in many cases though, fame came at a high price, and Basquiat's rapid progression from cardboard boxes to penthouse was also accompanied by the loss of friendship, love and eventually, his life.",,Movies & TV Studio Specials Miramax Home Entertainment All Titles,"Basquiat. Jean-Michel Basquiat ( Jeffrey Wright ) was just an antisocial street bum writing graffiti on alley walls before he became part of Andy Warhol's ( David Bowie ) eccentric art scene. Soon, the talented tagger became a widely praised figure in the New York City art world. As in many cases though, fame came at a high price, and Basquiat's rapid progression from cardboard boxes to penthouse was also accompanied by the loss of friendship, love and eventually, his life.  Movies & TV Studio Specials Miramax Home Entertainment All Titles"
B002DQDV6Y,,,,,.
B0188NQEQ4,,,,,.
B0006GVJE4,The Fifth Element (Ultimate Edition),"Product Description New York cab driver Korben Dallas didn't mean to be a hero, but he just picked up the kind of fare that only comes along every five thousand years: A perfect beauty, a perfect being, a perfect weapon. Together, they must save the world. Bruce Willis, Milla Jovovich, and Gary Oldman star in acclaimed director Luc Besson's outrageous sci-fi adventure, an extravagantly styled tale of good against evil set in an unbelievable twenty-third century world. Now presented in full 4K resolution, experience this dynamic action favorite like never before. Set Contains: Because of its striking vision and slam-bang sci-fi action, The Fifth Element has long been a prime show-off disc for home-theater owners. The third DVD release, the two-disc Ultimate Edition, is the best one yet. It's essentially a Superbit Deluxe DVD, reserving the first disc for the film in a high bit-rate picture and DTS sound borrowed from the earlier Superbit DVD (a tiny Superbit logo is displayed on the back cover) and an interesting though barely legible subtitled trivia track (text only so it doesn't take much disc space). From the greater detail to the more natural colors, it's a better viewing experience overall. The second disc contains two hours of featurettes, produced in 2004 and new to DVD. In fact, it's the first Fifth Element DVD to have supplemental features of any kind. Topics covered include visual effects, how the aliens were created, Milla Jovovich's screen tests (you can watch four of them), and the French artists whose comic books provided the initial inspiration and earned them an invitation to work with the design team. Jovovich, Bruce Willis, and everyone else involved in the picture seems to make an appearance, except director Luc Besson. --David Horiuchi",,Movies & TV Science Fiction & Fantasy Science Fiction Aliens,"The Fifth Element (Ultimate Edition). Product Description New York cab driver Korben Dallas didn't mean to be a hero, but he just picked up the kind of fare that only comes along every five thousand years: A perfect beauty, a perfect being, a perfect weapon. Together, they must save the world. Bruce Willis, Milla Jovovich, and Gary Oldman star in acclaimed director Luc Besson's outrageous sci-fi adventure, an extravagantly styled tale of good against evil set in an unbelievable twenty-third century world. Now presented in full 4K resolution, experience this dynamic action favorite like never before. Set Contains: Because of its striking vision and slam-bang sci-fi action, The Fifth Element has long been a prime show-off disc for home-theater owners. The third DVD release, the two-disc Ultimate Edition, is the best one yet. It's essentially a Superbit Deluxe DVD, reserving the first disc for the film in a high bit-rate picture and DTS sound borrowed from the earlier Superbit DVD (a tiny Superbit logo is displayed on the back cover) and an interesting though barely legible subtitled trivia track (text only so it doesn't take much disc space). From the greater detail to the more natural colors, it's a better viewing experience overall. The second disc contains two hours of featurettes, produced in 2004 and new to DVD. In fact, it's the first Fifth Element DVD to have supplemental features of any kind. Topics covered include visual effects, how the aliens were created, Milla Jovovich's screen tests (you can watch four of them), and the French artists whose comic books provided the initial inspiration and earned them an invitation to work with the design team. Jovovich, Bruce Willis, and everyone else involved in the picture seems to make an appearance, except director Luc Besson. --David Horiuchi  Movies & TV Science Fiction & Fantasy Science Fiction Aliens"
